seeds._ids,seeds.title,seeds.description,seeds.claimed,seeds.due_week,seeds.status,seeds.nugget_published,seeds.email_sent_at,seeds.account_id,seeds.added_by_id,seeds.topic_id,seeds.format_id,seeds.updated_at,seeds.created_at,links.url,youtube.id,youtube.viewCount,youtube.likeCount,youtube.dislikeCount,youtube.favoriteCount,youtube.commentCount
5317b4f83d3a79328200001d,Human trafficking PSAs by Freedom For All,CG: Pick one and let me know when you're done. These PSAs were created for Freedom For All to spread awareness about human trafficking and the US Human Trafficking Hotline.,NULL,NULL,approved,NULL,2014-03-12 00:00:00 +0000,523a67ad9a562ad05300ce80,523a67ad9a562ad05300ce80,50ef580097bf9f0002000023,50ef580097bf9f000200003f,2014-03-19 16:07:20 +0000,2014-03-05 23:36:24 +0000,www.youtube.com/watch?v=AstTYVOGGFA,AstTYVOGGFA,,,,,
5319a66b234dde31ac00001d,YouTube Stars Talk About Health Care At The White House,NULL,NULL,NULL,approved,NULL,NULL,5192a319192c830014009cb3,5192a319192c830014009cb3,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-18 22:41:07 +0000,2014-03-07 10:58:51 +0000,www.youtube.com/watch?v=aT77xhri9KQ,aT77xhri9KQ,,,,,
51f46a4a432d292e7200125c,21 and 1/2 hours: Walking is the single best thing to do for our health,NULL,NULL,2013-12-02 00:00:00 +0000,claimed,NULL,NULL,514730e530ff7e000200b305,514730e530ff7e000200b305,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-14 00:06:27 +0000,2013-07-28 00:48:10 +0000,www.youtube.com/watch?v=aUaInS6HIGo,aUaInS6HIGo,,,,,
52dc4f3d6fa12e7a5a000001,Blueprint for a Breakthrough: Shane Koyczan at TEDxYouth@SanDiego,NULL,NULL,2014-04-15 00:00:00 +0000,claimed,NULL,NULL,5192a3c6e36cf87029001c3a,5192a3c6e36cf87029001c3a,50ef580097bf9f0002000016,50ef580097bf9f000200003f,2014-03-14 00:06:33 +0000,2014-01-19 22:18:37 +0000,www.youtube.com/watch?v=aV805a2XJgA,aV805a2XJgA,,,,,
5273dee372d67cef410054fe,immigration card talks to family poem,This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor.,NULL,2014-01-06 00:00:00 +0000,approved,NULL,2014-01-01 00:00:00 +0000,5192a6b3f62409001800e5ed,4f46522268796d0003000001,50ef580097bf9f0002000021,50ef580097bf9f0002000040,2014-03-18 22:41:13 +0000,2013-11-01 17:03:31 +0000,www.youtube.com/watch?v=AW0HPnRgdc8,AW0HPnRgdc8,,,,,
52effbef955b9d063f00000a,Mobilize Me - bicycles for change,NULL,NULL,2014-02-07 00:00:00 +0000,approved,NULL,NULL,5192a6b3f62409001800e5ed,5192a6b3f62409001800e5ed,50ef580097bf9f0002000023,50ef580097bf9f000200003f,2014-03-18 22:40:50 +0000,2014-02-03 20:28:32 +0000,www.youtube.com/watch?v=AXQQiFRhFYg,AXQQiFRhFYg,,,,,
52e1d0cfa01ff7ff0f000008,Jason Silva on creativity,CG: Interesting about that self editing thing. Science behind flow state... very interesting.,NULL,2014-04-30 00:00:00 +0000,approved,NULL,NULL,523a67e3bddc67cba400cd5d,523a67e3bddc67cba400cd5d,50ef580097bf9f0002000035,50ef580097bf9f000200003f,2014-03-18 22:40:54 +0000,2014-01-24 02:32:47 +0000,www.youtube.com/watch?v=AXwLsba2TOY,AXwLsba2TOY,,,,,
51e5ea1321541ac5ed0030e3,"VIDEO: spoken word piece called ""10 Responses to the Phrase Man-Up""",NULL,NULL,2014-03-10 00:00:00 +0000,approved,NULL,NULL,5192a341f62409164d005597,5192a341f62409164d005597,50ef580097bf9f0002000016,50ef580097bf9f000200003f,2014-03-18 22:41:04 +0000,2013-07-17 00:49:23 +0000,www.youtube.com/watch?v=ayzwzGB2kXw,ayzwzGB2kXw,,,,,
52abb26b7f91d1428e000178,"These People Need Help. Whatever Your Political Affiliation, I Think You'll Agree We Owe It To Them.",NULL,NULL,2014-02-15 00:00:00 +0000,nuggetized,NULL,NULL,5192a3c6e36cf87029001c3a,5192a3c6e36cf87029001c3a,50ef580097bf9f000200002b,50ef580097bf9f000200003f,2014-03-14 00:06:33 +0000,2013-12-14 01:20:44 +0000,www.youtube.com/watch?v=azWNpCap_Ww,azWNpCap_Ww,,,,,
52dae240635c2d5221000002,Guinness Advert Black 2014 #2,This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor.,NULL,NULL,approved,NULL,2014-03-20 00:00:00 +0000,NULL,5192a63cbf9323030b005a00,50ef580097bf9f0002000028,50ef580097bf9f000200003f,2014-03-21 05:01:49 +0000,2014-01-18 20:21:20 +0000,www.youtube.com/watch?v=B-3sVWOxuXc,B-3sVWOxuXc,,,,,
52a7512af858a0287f002c00,VIDEO: GOP Guide on How to Talk to Women,NULL,NULL,2014-01-13 00:00:00 +0000,claimed,NULL,NULL,514730e530ff7e000200b305,514730e530ff7e000200b305,520e63bd4d8a0e62d5000003,50ef580097bf9f000200003f,2014-03-14 00:06:33 +0000,2013-12-10 17:36:42 +0000,www.youtube.com/watch?v=b50gGHz9F7g,b50gGHz9F7g,,,,,
52e9bc421eda07ab3b00001a,The Perfection Of Giving - Documentary - Trailer,documentary about the effect generosity has/had on the subjects in the film,NULL,2014-03-15 00:00:00 +0000,approved,NULL,NULL,5192a341f62409164d005597,5192a341f62409164d005597,50ef580097bf9f0002000016,50ef580097bf9f000200003f,2014-03-18 22:41:21 +0000,2014-01-30 02:43:14 +0000,www.youtube.com/watch?v=B50YHTAAdgQ,B50YHTAAdgQ,,,,,
